Question #, SD, D, N, A, SA
Question 1, 10, 8, 50, 32, 0
Question 2, 3, 18, 36, 34, 9
Question 3, 4, 20, 54, 15, 7
Question 4, 10, 17, 30, 30, 13
Question 5, 1, 34, 23, 32, 10
Question 6, 12, 2, 51, 29, 6
Question 7, 9, 27, 29, 33, 2
Question 8, 3, 2, 65, 28, 2
Question 9, 6, 8, 73, 4, 9
Question 10, 1, 21, 33, 33, 12
Question 11, 5, 7, 64, 17, 7
Question 12, 3, 26, 53, 17, 1
Question 13, 10, 31, 47, 12, 0
Question 14, 9, 31, 28, 25, 7
Question 15, 14, 33, 14, 33, 6
Question 16, 0, 11, 85, 1, 3
Question 17, 4, 5, 73, 5, 13
Question 18, 5, 4, 49, 30, 12
Question 19, 6, 10, 59, 22, 3
Question 20, 7, 33, 21, 31, 8
Question 21, 0, 24, 57, 8, 11
Question 22, 7, 3, 75, 15, 0
Question 23, 1, 4, 70, 11, 14
Question 24, 6, 32, 56, 6, 0
Question 25, 0, 4, 64, 31, 1
Question 26, 14, 33, 34, 19, 0
Question 27, 11, 31, 36, 12, 10
Question 28, 4, 22, 61, 12, 1
Question 29, 12, 14, 47, 19, 8
Question 30, 9, 34, 51, 1, 5
Question 31, 8, 19, 42, 27, 4
Question 32, 5, 3, 77, 5, 10
Question 33, 10, 24, 31, 32, 3
Question 34, 12, 25, 46, 13, 4
Question 35, 8, 18, 58, 2, 14
Question 36, 5, 18, 67, 10, 0
Question 37, 9, 5, 50, 26, 10
Question 38, 13, 10, 58, 5, 14
Question 39, 4, 10, 67, 7, 12
Question 40, 8, 12, 47, 21, 12
Question 41, 7, 8, 62, 14, 9
Question 42, 10, 7, 54, 28, 1
Question 43, 14, 15, 38, 32, 1
Question 44, 14, 8, 70, 5, 3
Question 45, 7, 31, 44, 10, 8
Question 46, 12, 7, 79, 0, 2
Question 47, 7, 1, 73, 6, 13
Question 48, 14, 5, 64, 9, 8
Question 49, 12, 32, 25, 19, 12
Question 50, 14, 28, 22, 31, 5
